tstep_number|time|error_1|error_2
439|1.317|3.933041950075506e-07|2.0359604818325446e-06
440|1.32|3.8279633117927414e-07|1.9775285040405006e-06
441|1.323|3.7256728772825544e-07|1.920773521482809e-06
442|1.326|3.626097264207286e-07|1.8656474044922242e-06
443|1.329|3.5291650018891103e-07|1.8121034046555057e-06
444|1.332|3.4348064836730575e-07|1.7600961153065216e-06
445|1.335|3.342953917612004e-07|1.7095814329253635e-06
446|1.338|3.253541279722498e-07|1.660516519738151e-06
447|1.341|3.166504269567382e-07|1.6128597674088112e-06
448|1.344|3.081780264843768e-07|1.5665707618249329e-06
449|1.347|2.999308278496954e-07|1.5216102487227663e-06
450|1.35|2.919028916776329e-07|1.4779401004242926e-06
451|1.353|2.840884335645292e-07|1.435523283461939e-06
452|1.356|2.764818205610701e-07|1.3943238273160564e-06
453|1.359|2.6907756680314514e-07|1.3543067937960389e-06
454|1.362|2.618703299185022e-07|1.3154382473982864e-06
455|1.365|2.54854907313386e-07|1.2776852265793365e-06
456|1.368|2.48026232501849e-07|1.241015715823313e-06
457|1.371|2.4137937165272105e-07|1.2053986184361817e-06
458|1.374|2.3490952001416312e-07|1.1708037301864538e-06
459|1.377|2.286119988148097e-07|1.1372017137367697e-06
460|1.38|2.2248225178818666e-07|1.1045640737481266e-06
461|1.383|2.1651584201914868e-07|1.072863132607059e-06
462|1.386|2.1070844892163682e-07|1.042072007080991e-06
463|1.389|2.0505586525870342e-07|1.012164585556597e-06
464|1.392|1.9955399404471544e-07|9.831155057273258e-07
